metric,stratum,n_transcripts,sem,true_between_sd,spread_over_noise,distinct_means
probing_and_follow_up_depth,bad,8,0.2633348402609083,1.0841480452996186,4.116994334002522,8
listening_interpretation_and_stewardship,bad,8,0.2505945311606362,1.2536375643929718,5.002653324422969,8
overall,bad,8,0.17395949172696717,1.0234802903631828,5.883440335463587,8
question_quality_and_precision,bad,8,0.1707825127659933,1.0612679598196122,6.214148876435403,6
framing_and_stakeholder_fit,bad,8,0.07319250547113999,0.9415981854576518,12.864680330268603,4
probing_and_follow_up_depth,good,8,0.04564354645876384,0.0,0.0,2
framing_and_stakeholder_fit,good,8,0.08964214570007953,0.17928429140015895,1.9999999999999987,3
question_quality_and_precision,good,8,0.08964214570007953,0.17928429140015895,1.9999999999999987,3
overall,good,8,0.07753647375206557,0.16912238453966078,2.1811977815815404,5
listening_interpretation_and_stewardship,good,8,0.11312656207813904,0.35017002672851316,3.0953829082743884,5
